Color,Orientation,X Location,Y Location
Target,270,1.80,1.80
Target,90,-0.60,0.60
Target,90,1.80,-1.80
Target,270,-1.80,0.60
Target,270,0.60,0.60
Target,180,0.60,-0.60
Dist2_LumDown,90,1.80,0.60
Dist2,180,-0.60,-1.80
Dist2_LumUp,0,0.60,1.80
Dist2_SatDown,0,-1.80,1.80
Dist2_SatUp,270,-1.80,-1.80
Dist1_SatUp,90,-0.60,1.80
Dist1_SatDown,90,-0.60,-0.60
Dist1_LumDown,0,-1.80,-0.60
Dist1,0,1.80,-0.60
Dist1_LumUp,0,0.60,-1.80

Target,0,0.60,0.60
Target,180,0.60,-0.60
Target,270,0.60,1.80
Target,270,1.80,-1.80
Target,180,-1.80,-1.80
Target,180,-0.60,-0.60
Dist2_SatDown,0,-1.80,1.80
Dist2,180,-0.60,0.60
Dist2_LumDown,270,1.80,0.60
Dist2_LumUp,0,0.60,-1.80
Dist2_SatUp,0,1.80,-0.60
Dist1,0,-0.60,1.80
Dist1_LumUp,0,-1.80,0.60
Dist1_SatUp,270,1.80,1.80
Dist1_SatDown,0,-0.60,-1.80
Dist1_LumDown,0,-1.80,-0.60

Target,90,1.80,-1.80
Target,90,-1.80,0.60
Target,90,1.80,0.60
Target,180,-0.60,-1.80
Target,90,-1.80,-0.60
Target,90,0.60,0.60
Dist2_SatUp,180,0.60,-1.80
Dist2_LumDown,90,1.80,-0.60
Dist2_LumUp,270,-0.60,-0.60
Dist2_SatDown,270,0.60,-0.60
Dist2,90,1.80,1.80
Dist1_SatUp,270,-0.60,1.80
Dist1,0,-1.80,1.80
Dist1_SatDown,270,0.60,1.80
Dist1_LumUp,90,-1.80,-1.80
Dist1_LumDown,90,-0.60,0.60

Target,180,0.60,-1.80
Target,180,-0.60,0.60
Target,180,0.60,-0.60
Target,90,-0.60,-0.60
Target,180,1.80,0.60
Target,90,-1.80,-0.60
Dist2_LumUp,270,-0.60,-1.80
Dist2,270,0.60,0.60
Dist2_SatDown,270,-1.80,0.60
Dist2_SatUp,180,-0.60,1.80
Dist2_LumDown,90,-1.80,1.80
Dist1_LumDown,180,-1.80,-1.80
Dist1_SatUp,270,1.80,-0.60
Dist1_LumUp,0,1.80,-1.80
Dist1_SatDown,180,1.80,1.80
Dist1,90,0.60,1.80

Target Color R, Target Color G, Target Color B
210,156,238
Target Orientation
0(Clone)
